call_identifier,call_timestamp,call_text,call_duration_seconds,escalation_required
1,2023-09-02 13:45:31,How do I apply a discount code?,270,0
2,2023-02-06 09:02:50,I need to report a lost card.,367,0
3,2023-04-21 11:22:44,I need to report a lost card.,194,0
4,2023-07-21 16:52:48,Can you help me with a refund?,67,0
5,2023-04-16 15:53:47,How do I set up auto-pay?,330,0
6,2023-09-15 01:29:04,My internet is not working properly.,449,1
7,2023-04-22 08:56:32,I'm having trouble with my online order.,332,0
8,2023-04-01 07:46:30,My package hasn't arrived yet.,168,0
9,2023-08-30 16:18:52,My package hasn't arrived yet.,449,0
10,2023-06-06 01:55:16,I'm unable to login to my account.,291,0
11,2023-11-21 17:43:41,My package hasn't arrived yet.,344,1
12,2023-03-28 13:59:34,I need to report a lost card.,308,0
13,2023-03-21 23:14:04,Can you help me with a refund?,227,0
14,2023-11-11 09:56:59,How do I update my email address?,466,0
15,2023-09-09 17:24:17,I need help with my account balance.,184,1
16,2023-12-22 10:07:37,My device isn't charging properly.,470,1
17,2023-08-19 12:48:20,I need technical support.,554,0
18,2023-01-06 07:54:43,I need technical support.,450,0
19,2023-03-16 19:04:04,I have a billing issue.,265,1
20,2023-07-09 05:19:34,What's the status of my repair?,166,0
21,2023-08-08 11:25:01,Can you explain my recent charges?,378,0
22,2023-01-28 07:06:38,How do I change my shipping address?,83,0
23,2023-07-25 19:03:45,I need assistance with a warranty claim.,154,1
24,2023-09-05 13:07:50,I'm having trouble with my online order.,452,1
25,2023-07-13 11:34:41,I need to report a lost card.,499,0
26,2023-07-21 22:32:58,Can I speak to a manager?,164,0
27,2023-07-05 17:06:27,My device isn't charging properly.,417,0
28,2023-09-05 01:59:24,The service has been down for hours.,350,0
29,2023-03-16 11:44:30,I'm having trouble with my online order.,425,0
30,2023-05-08 03:00:07,The app keeps crashing.,152,0
31,2023-11-25 02:42:42,The service has been down for hours.,351,0
32,2023-02-03 15:43:39,How do I apply a discount code?,254,0
33,2023-06-04 15:48:29,Can you explain my recent charges?,179,1
34,2023-03-16 07:06:29,I need technical support.,465,0
35,2023-08-17 23:20:01,Can you help me with a refund?,543,1
36,2023-03-05 04:46:04,I need help with my insurance claim.,334,1
37,2023-10-13 13:48:32,I need technical support.,535,1
38,2023-12-20 15:26:11,I need technical support.,74,0
39,2023-02-06 21:16:55,I need help with my insurance claim.,256,1
40,2023-07-26 17:48:45,How do I set up auto-pay?,224,1
41,2023-01-02 20:49:19,The service has been down for hours.,423,0
42,2023-09-20 19:08:33,How do I reset my password?,295,1
43,2023-01-19 13:44:28,I'm unable to login to my account.,452,1
44,2023-12-03 15:29:19,The product I received is defective.,258,1
45,2023-01-18 19:29:20,How do I apply a discount code?,115,0
46,2023-05-02 18:48:33,How do I connect to Wi-Fi?,54,1
47,2023-06-10 08:28:09,Can I speak to a manager?,42,1
48,2023-01-31 11:07:49,What's the status of my repair?,502,0
